"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PRSS8","0.1358","0.9434","0.467","0.6418","0.7977","-6.294"
"SIGLEC6","0.1358","-0.7179","1.022","0.3097","0.5087","-5.889"
"LOC90586","0.1357","-0.522","0.9675","0.3362","0.5348","-5.943"
"POLR2A","0.1356","11.88","1.205","0.2316","0.4183","-5.692"
"SERPINA6","0.1356","-0.6105","0.7297","0.4677","0.6515","-6.14"
"C13orf29","0.1356","5.444","0.4918","0.6242","0.784","-6.282"
"C1orf131","0.1356","8.167","1.271","0.2074","0.3889","-5.613"
"UPF1","0.1355","10.98","1.137","0.2588","0.4509","-5.769"
"AATF","0.1355","9.911","1.277","0.2053","0.3866","-5.606"
"LOC100132724","0.1355","1.737","0.7517","0.4544","0.6402","-6.124"
"POLE","0.1355","8.937","0.6768","0.5005","0.6805","-6.176"
"H1F0","0.1354","11.66","0.7491","0.456","0.6413","-6.126"
"MFSD2A","0.1354","10.07","0.6628","0.5094","0.688","-6.185"
"GOLPH3L","0.1353","8.976","1.418","0.1601","0.3277","-5.423"
"CMIP","0.1353","10.17","0.7533","0.4535","0.6391","-6.122"
"LOC284023","0.1353","7.155","1.095","0.277","0.4726","-5.815"
"LOC646982","0.1353","0.5257","0.6195","0.5374","0.7124","-6.212"
"YY1AP1","0.1353","10.78","1.795","0.07653","0.1963","-4.846"
"HPS6","0.1352","8.34","1.577","0.1187","0.2674","-5.195"
"BRCC3","0.1352","8.485","1.734","0.08687","0.2146","-4.948"
"BRAF","0.1352","6.638","0.9589","0.3406","0.5381","-5.951"
"CDCA8","0.1351","8.077","0.4251","0.6719","0.8201","-6.312"
"LGSN","0.1351","0.3461","0.5302","0.5974","0.7621","-6.263"
"PLCG1","0.1349","11.7","0.9478","0.3461","0.54","-5.961"
"PTTG1","0.1348","9.016","0.5032","0.6162","0.7777","-6.276"
"HDAC6","0.1348","10.57","1.376","0.1726","0.3432","-5.479"
"C1orf35","0.1347","8.245","1.231","0.2219","0.4061","-5.661"
"SLC35E1","0.1346","10.47","1.412","0.162","0.3304","-5.432"
"CCNYL1","0.1346","9.036","1.714","0.09049","0.2206","-4.981"
"ZNF449","0.1345","7.484","1.145","0.2557","0.4475","-5.76"
"FBXW2","0.1345","10.39","1.366","0.1757","0.3473","-5.492"
"WDR26","0.1345","11.16","1.818","0.07292","0.1898","-4.807"
"DDX26B","0.1344","6.952","0.8868","0.3779","0.5705","-6.015"
"ALG8","0.1344","9.468","1.289","0.2012","0.3811","-5.591"
"CYHR1","0.1343","9.951","1.395","0.1668","0.3357","-5.454"
"ADAM33","0.1343","7.28","0.3297","0.7425","0.8703","-6.347"
"NUMA1","0.1343","12.1","0.871","0.3864","0.578","-6.029"
"RAB21","0.1342","9.825","1.675","0.0978","0.2327","-5.043"
"TMEM129","0.1342","10.58","1.268","0.2087","0.3905","-5.617"
"GP5","0.1341","0.8553","0.4748","0.6363","0.7936","-6.29"
"OR10AD1","0.1341","-0.1491","0.5987","0.5511","0.724","-6.225"
"STAG1","0.1341","9.28","0.9643","0.3378","0.5363","-5.946"
"CRTC3","0.134","10.19","1.45","0.151","0.3151","-5.379"
"AMPD2","0.134","10.48","1.107","0.2716","0.4661","-5.802"
"PCDHB5","0.1339","6.594","0.2658","0.7911","0.9041","-6.366"
"GUCY2C","0.1338","0.8992","0.5113","0.6106","0.7729","-6.272"
"NCRNA00183","0.1338","7.73","1.047","0.2982","0.4966","-5.864"
"LRMP","0.1338","6.652","0.5226","0.6027","0.7666","-6.267"
"ZNF761","0.1337","7.602","1.211","0.2293","0.4156","-5.685"
"FASTKD5","0.1337","8.584","1.85","0.06803","0.1808","-4.751"
"VDAC1","0.1336","11.99","1.82","0.07252","0.1891","-4.803"
"C11orf75","0.1336","6.798","0.6977","0.4874","0.668","-6.162"
"LOC92659","0.1336","6.235","0.9782","0.331","0.5301","-5.932"
"LXN","0.1335","6.907","0.5971","0.5522","0.7247","-6.226"
"GPR137","0.1335","9.897","1.439","0.1542","0.3199","-5.395"
"HEPACAM2","0.1335","0.9502","0.4546","0.6506","0.8047","-6.299"
"RHOF","0.1335","5.086","0.3692","0.713","0.8491","-6.334"
"NPHP4","0.1334","8.204","1.008","0.3164","0.5159","-5.903"
"TRIM26","0.1334","10.06","1.379","0.1719","0.3422","-5.476"
"PNN","0.1334","10.47","0.8547","0.3953","0.5863","-6.043"
"POLR3GL","0.1334","9.318","1.545","0.1264","0.2795","-5.243"
"CABIN1","0.1334","10.76","0.9315","0.3544","0.5468","-5.976"
"PIGQ","0.1334","10.01","1.151","0.2534","0.4448","-5.754"
"OR2A9P","0.1333","4.591","0.6223","0.5355","0.711","-6.211"
"FLRT2","0.1333","7.536","0.378","0.7064","0.8443","-6.331"
"TECTB","0.1332","0.1532","0.3724","0.7106","0.8475","-6.333"
"FAM3A","0.1331","10","1.39","0.1683","0.3371","-5.46"
"DBNL","0.1331","11.26","1.26","0.2113","0.3936","-5.627"
"TOP3A","0.133","8.864","1.282","0.2034","0.3842","-5.599"
"C14orf102","0.133","7.708","1.136","0.2592","0.4514","-5.77"
"RPTN","0.1329","-0.8811","1.45","0.1511","0.3151","-5.379"
"MAEL","0.1329","5.885","0.4453","0.6573","0.8094","-6.303"
"FAM170B","0.1328","-0.676","1.067","0.2892","0.4866","-5.844"
"ZNF182","0.1328","7.266","1.407","0.1632","0.3319","-5.437"
"PPM1F","0.1326","9.633","1.121","0.2658","0.4593","-5.787"
"PPRC1","0.1326","9.039","0.99","0.3252","0.5247","-5.921"
"TACC3","0.1325","9.372","0.4307","0.6679","0.8174","-6.31"
"IL23R","0.1325","-0.8563","1.37","0.1744","0.3456","-5.487"
"KRT1","0.1325","-0.1199","0.4968","0.6207","0.7814","-6.28"
"C4orf19","0.1324","6.699","0.5203","0.6043","0.768","-6.268"
"TADA3","0.1324","11.41","1.469","0.1458","0.3075","-5.352"
"CDC42SE1","0.1324","11.33","1.315","0.1922","0.3692","-5.558"
"TAS1R2","0.1323","-0.7937","1.268","0.2086","0.3905","-5.617"
"MFGE8","0.1323","10.92","0.8786","0.3823","0.5742","-6.022"
"WDFY2","0.1323","8.034","1.29","0.2008","0.3807","-5.59"
"VPS13C","0.1322","9.796","1.046","0.2988","0.4974","-5.866"
"SLMO2","0.1322","10.27","0.6786","0.4994","0.6795","-6.175"
"ATF6","0.1321","9.974","1.679","0.09704","0.2313","-5.036"
"TRPC6","0.1321","5.441","0.4829","0.6305","0.789","-6.286"
"DUS1L","0.132","9.457","1.473","0.1448","0.3062","-5.347"
"ARSB","0.132","8.988","1.698","0.09339","0.2254","-5.006"
"C12orf49","0.132","9.414","1.159","0.2499","0.4408","-5.745"
"NBEAL1","0.1319","4.46","0.6457","0.5203","0.6981","-6.196"
"ZZEF1","0.1317","9.978","0.9274","0.3565","0.5486","-5.98"
"KPRP","0.1317","-0.8079","1.084","0.2815","0.4779","-5.826"
"SLCO3A1","0.1316","8.576","0.4704","0.6394","0.796","-6.292"
"MAP4K4","0.1315","12.38","1.035","0.3037","0.5026","-5.877"
"LOC100133957","0.1313","2.334","0.6776","0.5","0.68","-6.175"
"FAM116B","0.131","8.144","0.8034","0.4242","0.6137","-6.084"
"APIP","0.1309","8.329","1.217","0.2272","0.4129","-5.678"
"EAF1","0.1308","9.959","1.247","0.216","0.3992","-5.642"
"DHFRL1","0.1308","7.939","1.036","0.3035","0.5024","-5.876"
"FAM160B2","0.1307","10.03","1.113","0.2691","0.463","-5.795"
"EMD","0.1307","10.08","1.364","0.1764","0.348","-5.495"
"KCTD10","0.1307","9.988","1.65","0.103","0.2419","-5.084"
"ASB9","0.1306","4.163","0.4781","0.6339","0.7918","-6.288"
"FLT3","0.1306","1.586","0.3167","0.7523","0.8778","-6.352"
"FAM189B","0.1305","8.871","1.259","0.2116","0.3938","-5.627"
"SOCS6","0.1304","9.739","1.342","0.1836","0.3581","-5.524"
"MLLT1","0.1304","11.11","1.261","0.2111","0.3933","-5.626"
"MMACHC","0.1304","7.19","0.8095","0.4206","0.6104","-6.079"
"CEP120","0.1304","8.445","1.475","0.1443","0.3055","-5.344"
"PYY","0.1303","0.02205","0.5005","0.6181","0.7793","-6.278"
"RSPH6A","0.1302","-0.4539","0.7979","0.4273","0.6165","-6.089"
"FAM118A","0.1302","8.071","0.6968","0.488","0.6686","-6.162"
"CLCC1","0.1302","9.991","2.114","0.03765","0.1186","-4.26"
"TRIM39","0.1301","8.441","1.398","0.1662","0.3351","-5.451"
"RFX5","0.1301","9.883","1.663","0.1003","0.2372","-5.063"
"FKRP","0.13","8.651","1.061","0.292","0.4899","-5.851"
"KCNJ2","0.1298","7.237","0.8306","0.4087","0.5986","-6.063"
"PHYHD1","0.1297","7.732","0.3962","0.693","0.8344","-6.324"
"MGC15885","0.1297","-0.6114","0.8442","0.4011","0.5914","-6.051"
"MTHFR","0.1296","9.178","1.179","0.2421","0.4312","-5.723"
"ZNF700","0.1295","7.995","0.9601","0.34","0.5377","-5.95"
"FMO9P","0.1295","-0.7804","0.8888","0.3768","0.5695","-6.014"
"ALX3","0.1294","5.523","0.5299","0.5977","0.7623","-6.263"
"SHOX","0.1294","-0.608","0.7277","0.469","0.6526","-6.141"
"SEPT7","0.1294","13.27","1.088","0.28","0.4761","-5.822"
"C14orf142","0.1294","8.11","0.8272","0.4106","0.6003","-6.065"
"C12orf11","0.1293","8.838","1.251","0.2146","0.3976","-5.637"
"SORD","0.1292","8.858","0.8636","0.3904","0.5819","-6.035"
"USP47","0.1292","10.79","1.069","0.2884","0.4857","-5.842"
"ZNF787","0.1292","8.825","1.198","0.2344","0.4217","-5.7"
"CYP7A1","0.129","0.2441","0.5806","0.5632","0.7333","-6.235"
"VAMP7","0.129","10.01","1.491","0.1401","0.2994","-5.322"
"PYGO2","0.1288","10.26","1.59","0.1158","0.2624","-5.176"
"RUNDC2C","0.1287","3.102","0.4788","0.6334","0.7915","-6.288"
"ZNF528","0.1287","8.949","0.9365","0.3519","0.5447","-5.971"
"LOC100216545","0.1286","6.758","0.737","0.4633","0.6472","-6.134"
"KIAA2026","0.1286","8.903","0.8104","0.4201","0.6098","-6.079"
"GJA8","0.1285","-0.8409","1.219","0.2265","0.4121","-5.676"
"SCUBE2","0.1285","8.589","0.3221","0.7482","0.8746","-6.35"
"RPAP1","0.1283","9.292","1.204","0.2324","0.419","-5.694"
"ALDH9A1","0.1283","11.49","1.145","0.2558","0.4475","-5.761"
"E2F5","0.1282","8.567","0.7007","0.4855","0.6665","-6.16"
"STARD6","0.1282","0.005264","0.6131","0.5416","0.7161","-6.216"
"RNF10","0.1282","11.63","2.1","0.03896","0.1216","-4.289"
"UNCX","0.1282","-0.4839","0.4789","0.6333","0.7915","-6.288"
"C1orf83","0.1282","7.618","1.354","0.1795","0.3528","-5.508"
"DEPDC1","0.1281","7.128","0.4033","0.6878","0.831","-6.321"
"AKR1A1","0.1281","10.71","1.017","0.312","0.5112","-5.894"
"FLJ39582","0.1281","5.812","0.7512","0.4548","0.6405","-6.124"
"INHBC","0.128","1.93","0.3434","0.7322","0.8629","-6.343"
"ATP6AP1","0.128","12.28","1.859","0.0668","0.1787","-4.736"
"SETX","0.128","10.44","1.322","0.1899","0.3664","-5.549"
"C12orf72","0.1279","5.784","1.061","0.2921","0.4899","-5.851"
"GARS","0.1278","11.21","1.303","0.1965","0.3751","-5.574"
"DICER1","0.1277","9.877","0.8408","0.403","0.5933","-6.054"
"PHF7","0.1277","5.378","1.007","0.3172","0.5167","-5.905"
"KIAA0586","0.1276","8.059","1.047","0.2983","0.4967","-5.865"
"MST1","0.1275","6.827","0.3986","0.6913","0.8332","-6.323"
"EP400NL","0.1275","6.945","0.9791","0.3305","0.5296","-5.932"
"DNPEP","0.1275","10.11","1.492","0.1397","0.2989","-5.32"
"ACIN1","0.1275","11.08","1.02","0.311","0.5102","-5.892"
"POPDC2","0.1274","5.484","0.7883","0.4329","0.6216","-6.096"
"C14orf166B","0.1274","0.0656","0.5587","0.578","0.7458","-6.247"
"OXSR1","0.1273","9.866","1.314","0.1927","0.37","-5.56"
"TMEM70","0.1272","9.248","0.8942","0.374","0.5666","-6.009"
"AFF4","0.1272","11.03","1.336","0.1852","0.3603","-5.531"
"PRPF38B","0.1271","9.927","1.422","0.1589","0.326","-5.417"
"CDK9","0.1271","10.21","1.463","0.1473","0.3096","-5.36"
"C14orf105","0.127","-0.01517","0.4781","0.6339","0.7918","-6.288"
"TMEM131","0.1269","10.42","1.205","0.2318","0.4185","-5.692"
"SUN3","0.1267","-0.1865","0.6377","0.5255","0.7024","-6.201"
"NDUFS6","0.1267","9.927","1.376","0.1726","0.3432","-5.479"
"NME3","0.1267","9.365","0.7365","0.4636","0.6474","-6.135"
"SULT1C4","0.1266","8","0.6171","0.539","0.7137","-6.214"
"ZACN","0.1266","0.3964","0.5789","0.5643","0.7342","-6.236"
"C17orf58","0.1264","8.2","1.004","0.3182","0.5177","-5.907"
"PELO","0.1263","8.826","1.648","0.1034","0.2423","-5.086"
"SNX13","0.1263","10.32","1.518","0.1331","0.2899","-5.283"
"LSM6","0.1263","8.03","1.162","0.2489","0.4396","-5.742"
"FKBP6","0.1262","0.158","0.6534","0.5154","0.6936","-6.191"
"NRSN2","0.1262","11.13","1.208","0.2305","0.417","-5.688"
"SLC23A3","0.1261","1.19","0.4754","0.6358","0.7932","-6.29"
"C10orf91","0.126","-0.7361","0.935","0.3526","0.5454","-5.973"
"CDIPT","0.1258","10.79","1.732","0.08711","0.2151","-4.951"
"C20orf30","0.1258","11.49","0.9671","0.3364","0.5349","-5.943"
"GPR146","0.1256","7.287","0.8846","0.3791","0.5718","-6.017"
"UCN","0.1256","4.082","0.6146","0.5406","0.7152","-6.215"
"EIF1AD","0.1255","8.725","1.931","0.05707","0.1593","-4.607"
"DNAJC30","0.1255","8.694","1.221","0.2256","0.4112","-5.673"
"PCOLCE2","0.1254","6.815","0.293","0.7703","0.8892","-6.359"
"GTF2I","0.1253","11.37","0.8168","0.4165","0.6062","-6.074"
"ZNF319","0.1252","8.632","1.211","0.2296","0.4158","-5.685"
"MAPRE1","0.1251","11.93","1.163","0.2485","0.439","-5.741"
"ATXN2L","0.125","11.3","1.253","0.2138","0.3968","-5.635"
"ZNF311","0.125","6.284","0.4448","0.6577","0.8098","-6.304"
"BANP","0.1249","7.846","1.367","0.1755","0.3471","-5.491"
"UBXN2A","0.1249","8.31","1.128","0.2626","0.4553","-5.779"
"KIAA1310","0.1249","10.46","1.786","0.078","0.1988","-4.862"
"SFMBT2","0.1248","6.365","0.4671","0.6417","0.7977","-6.294"
"TROVE2","0.1247","10.61","1.54","0.1277","0.2814","-5.251"
"NUDT9","0.1247","9.369","1.955","0.05409","0.1533","-4.563"
"AR","0.1247","5.566","0.3476","0.7291","0.8606","-6.341"
"MIB2","0.1246","9.559","0.9751","0.3325","0.5314","-5.935"
"RNF26","0.1246","9.891","1.48","0.143","0.3037","-5.338"
"MS4A3","0.1245","-0.2801","0.6374","0.5257","0.7024","-6.201"
"PCGF1","0.1244","8.002","1.172","0.2449","0.4343","-5.731"
"LRRC66","0.1244","4.755","0.5886","0.5578","0.7295","-6.231"
"RNF166","0.1244","8.768","1.493","0.1394","0.2986","-5.318"
"CDK6","0.1243","10.31","0.4086","0.6839","0.8283","-6.319"
"GON4L","0.1243","9.613","0.9212","0.3598","0.5517","-5.985"
"C14orf106","0.1243","7.807","0.8594","0.3927","0.584","-6.039"
"ZNF165","0.1243","4.551","0.9154","0.3627","0.5551","-5.99"
"FABP1","0.1242","-0.3413","0.5541","0.5811","0.7483","-6.25"
"C8orf37","0.1242","7.187","0.9113","0.3649","0.5573","-5.994"
"CSNK1D","0.1241","11.88","1.973","0.05204","0.1491","-4.531"
"NSA2","0.1241","10.04","1.226","0.2239","0.409","-5.668"
"SSFA2","0.1241","11.89","0.881","0.381","0.5732","-6.02"
"STX6","0.1239","10.45","1.455","0.1496","0.3126","-5.372"
"LOC283922","0.1239","5.399","0.4826","0.6307","0.7891","-6.286"
"NT5C","0.1238","8.584","0.9516","0.3442","0.5399","-5.957"
"DOCK1","0.1237","9.952","1.071","0.2875","0.4848","-5.84"
"NEO1","0.1237","10.85","0.8287","0.4098","0.5999","-6.064"
"RAD21L1","0.1237","-0.8152","1.067","0.2891","0.4866","-5.844"
"C12orf61","0.1237","3.594","0.6388","0.5248","0.7018","-6.2"
"C17orf79","0.1236","10.32","0.9196","0.3606","0.5527","-5.987"
"AGT","0.1235","13.28","0.479","0.6333","0.7914","-6.288"
"NCOA6","0.1235","10.39","0.9935","0.3235","0.523","-5.918"
"WNT3A","0.1235","-0.7256","0.9001","0.3708","0.5634","-6.004"
"HIST1H2BG","0.1235","2.619","0.3853","0.701","0.8402","-6.328"
"LOC284009","0.1234","0.664","0.4953","0.6217","0.7822","-6.28"
"HEATR1","0.1234","9.277","1.2","0.2336","0.4208","-5.698"
"FOXS1","0.1233","5.706","0.5457","0.5868","0.7532","-6.255"
"MPDZ","0.1233","10.02","0.794","0.4296","0.6183","-6.092"
"GNG11","0.1232","9.146","0.5127","0.6096","0.7721","-6.272"
"NFKBIB","0.1232","9.169","1.273","0.2067","0.3881","-5.611"
"SHARPIN","0.1231","9.748","1.378","0.172","0.3422","-5.476"
"ARHGEF3","0.1231","10.26","1.027","0.3076","0.5068","-5.885"
"ISY1","0.123","8.922","1.936","0.05645","0.158","-4.598"
"TMEM27","0.123","4.312","0.4614","0.6458","0.8012","-6.296"
"SLC26A6","0.1229","7.281","0.8106","0.42","0.6098","-6.079"
"LOC100129550","0.1229","7.386","0.8876","0.3774","0.5702","-6.015"
"SNIP1","0.1228","8.222","1.753","0.08345","0.2088","-4.916"
"DISC2","0.1228","-0.2864","0.6553","0.5142","0.6928","-6.19"
"NEK4","0.1228","9.241","1.212","0.2292","0.4154","-5.684"
"IFI27L1","0.1227","7.906","0.734","0.4651","0.6486","-6.136"
"C1QTNF2","0.1226","5.684","0.6045","0.5472","0.7207","-6.221"
"GLT8D2","0.1226","5.323","0.3894","0.698","0.8379","-6.326"
"CLIC2","0.1224","7.172","0.6342","0.5278","0.7042","-6.203"
"TCF3","0.1224","10.75","0.6987","0.4868","0.6675","-6.161"
"PAK6","0.1224","6.951","0.3618","0.7184","0.8534","-6.336"
"SLC35B3","0.1224","8.274","1.405","0.1639","0.3324","-5.441"
"C8orf55","0.1224","8.842","0.7963","0.4282","0.6172","-6.09"
"CLLU1","0.1223","-0.2541","0.4131","0.6807","0.8258","-6.317"
"AGER","0.1223","6.299","0.4743","0.6366","0.7938","-6.29"
"ARHGEF18","0.1223","9.969","1.084","0.2817","0.4782","-5.826"
"ZNF205","0.1223","8.223","1.206","0.2316","0.4183","-5.692"
"POU5F2","0.1222","-0.4956","0.6929","0.4904","0.6711","-6.165"
"C5orf22","0.1221","8.957","1.621","0.109","0.2512","-5.128"
"DDR2","0.1221","7.255","0.3654","0.7158","0.8511","-6.335"
"ILK","0.1221","11.42","0.93","0.3552","0.5476","-5.977"
"ARHGDIA","0.1221","12.64","1.554","0.1243","0.2761","-5.23"
"DYNC2H1","0.122","8.325","0.8444","0.401","0.5913","-6.051"
"TAZ","0.122","8.836","1.148","0.2544","0.446","-5.757"
"MECP2","0.122","10.4","1.037","0.3031","0.502","-5.875"
"PER4","0.1219","-0.7561","0.9003","0.3707","0.5634","-6.004"
"PCDHGA7","0.1218","4.522","0.2973","0.767","0.8869","-6.357"
"TUBA4A","0.1217","9.156","0.3683","0.7136","0.8496","-6.334"
"ADAM5P","0.1216","-0.9009","1.659","0.101","0.2383","-5.068"
"ABCG1","0.1215","8.885","0.6171","0.5389","0.7137","-6.214"
"PSMD9","0.1215","9.733","1.155","0.2515","0.4427","-5.749"
"DDIT3","0.1214","9.812","0.4592","0.6474","0.8023","-6.297"
"CBX3","0.1214","11.94","0.8834","0.3797","0.5723","-6.018"
"GPR110","0.1214","-0.7189","0.9814","0.3294","0.5286","-5.929"
"RECK","0.1214","7.721","1.061","0.292","0.4899","-5.85"
"CDA","0.1214","5.25","0.5012","0.6176","0.779","-6.277"
"CSRNP1","0.1214","10.07","0.9637","0.3381","0.5363","-5.946"
"FAM71C","0.1213","-0.9393","2","0.04898","0.1426","-4.481"
"DDOST","0.1213","12.1","1.152","0.2529","0.4443","-5.753"
"MPV17","0.1212","10.52","1.071","0.2876","0.485","-5.84"
"CCNB2","0.1212","8.17","0.2681","0.7893","0.9029","-6.366"
"NCAPD2","0.1211","10.37","0.795","0.429","0.6178","-6.091"
"PUS10","0.1211","6.884","1.161","0.249","0.4396","-5.742"
"MICAL1","0.121","9.406","0.8459","0.4002","0.5907","-6.05"
"CTNNA2","0.121","10.41","0.4653","0.643","0.7988","-6.294"
"SMAD2","0.121","10.53","1.625","0.1082","0.2499","-5.122"
"USP38","0.121","9.603","1.449","0.1514","0.3156","-5.381"
"USP25","0.1209","9.001","1.014","0.3138","0.5129","-5.898"
"CYB561D1","0.1209","8.472","1.289","0.2011","0.381","-5.591"
"MCOLN1","0.1208","9.281","1.29","0.2009","0.3808","-5.59"
"PDE5A","0.1208","7.189","0.6215","0.5361","0.7114","-6.211"
"SUZ12","0.1206","9.547","1.276","0.2058","0.3873","-5.608"
"TMEM115","0.1206","10.27","1.463","0.1474","0.3096","-5.361"
"HDDC3","0.1206","7.945","0.7742","0.4411","0.6288","-6.107"
"SEC23B","0.1205","10.8","1.46","0.1484","0.311","-5.366"
"RPIA","0.1205","8.125","1.113","0.269","0.463","-5.795"
"LOC200030","0.1205","8.941","0.8975","0.3722","0.5648","-6.006"
"TMEM171","0.1205","1.949","0.4166","0.6781","0.824","-6.316"
"AVL9","0.1204","7.918","0.7966","0.4281","0.6172","-6.09"
"MRPS30","0.1203","8.376","1.266","0.2094","0.3914","-5.62"
"SCAMP3","0.1203","10.53","1.407","0.1634","0.332","-5.438"
"PITX3","0.1202","-0.0143","0.5515","0.5828","0.7498","-6.251"
"ANO7","0.1201","4.134","0.5743","0.5674","0.7366","-6.239"
"DEFB1","0.12","-0.09986","0.4053","0.6864","0.8298","-6.32"
"ENTPD1","0.1199","10.26","1.277","0.2053","0.3866","-5.606"
"ST18","0.1199","5.886","0.243","0.8087","0.9158","-6.372"
"FOXC1","0.1199","7.672","0.7219","0.4725","0.6557","-6.145"
"PHF21A","0.1198","10.02","1.333","0.1865","0.3621","-5.536"
"UPF3B","0.1198","8.322","0.9934","0.3235","0.5231","-5.918"
"DNAJC14","0.1198","9.883","1.738","0.0862","0.2134","-4.942"
"PPCDC","0.1198","7.217","0.7976","0.4275","0.6167","-6.089"
"RPL11","0.1197","12.94","0.9494","0.3453","0.5399","-5.959"
"HNRNPUL2","0.1196","11.06","0.805","0.4232","0.6128","-6.083"
"GNB2L1","0.1196","13.98","0.8412","0.4028","0.5932","-6.054"
"PCDHB13","0.1196","5.296","0.6047","0.5471","0.7207","-6.221"
"FLT1","0.1196","9.442","0.5986","0.5511","0.724","-6.225"
"NPLOC4","0.1195","11.15","1.806","0.07474","0.1928","-4.827"
"HTT","0.1195","10.75","0.7806","0.4374","0.6255","-6.102"
"ANKLE2","0.1195","10.27","1.71","0.09125","0.2217","-4.988"
"PRR16","0.1194","4.926","0.419","0.6763","0.8227","-6.315"
"LARP1B","0.1194","8.13","1.28","0.2044","0.3854","-5.603"
"C20orf173","0.1193","-0.7379","1.102","0.2737","0.4685","-5.807"
"ZNF480","0.1193","8.35","0.8978","0.372","0.5646","-6.006"
"FAM133B","0.1193","7.233","1.002","0.3195","0.519","-5.91"
"SFT2D1","0.1193","9.022","0.9279","0.3563","0.5483","-5.979"
"C4orf3","0.1193","11.57","1.074","0.2862","0.4833","-5.837"
"ZMPSTE24","0.1192","10.53","1.252","0.2141","0.3971","-5.636"
"LRRC14B","0.1192","-0.05158","0.5244","0.6015","0.7655","-6.266"
"TLCD1","0.1192","7.496","0.4893","0.626","0.7853","-6.283"
"INF2","0.1191","10.14","0.7772","0.4394","0.6272","-6.105"
"MORN2","0.119","8.941","0.7123","0.4784","0.6605","-6.152"
"ACSM1","0.1189","-0.1667","0.5911","0.5561","0.7278","-6.229"
"CCDC127","0.1189","8.63","1.479","0.1431","0.3039","-5.338"
"CNDP2","0.1189","12.05","1.351","0.1805","0.3538","-5.512"
"SLC17A1","0.1189","-0.7835","0.9328","0.3537","0.5463","-5.975"
